category,feature,description,references,priority
Triggers & entry points,Start run from web UI,Compose prompt + repo + agent in a browser and launch an async run,CUR CC OH CAM CL ANK TK CDR,MVP
Triggers & entry points,Start run via REST API,Programmatic create of a session/run,CUR CMA OH ANK CDR SYM?,MVP
Triggers & entry points,Launch cloud run from local CLI,"e.g. `claude --cloud ""…""`; queue follow-ups from any terminal",CC CUR?,v1
Triggers & entry points,Launch from desktop IDE,Pick 'Cloud' in the IDE agent dropdown,CUR CC,Not planned
Triggers & entry points,Mobile app / PWA,Start and steer runs from phone,CUR CC,Later
Triggers & entry points,GitHub @mention in issue/PR comment,Comment `@bot …` → run → branch/PR,CUR CC OH OHE SWP?,MVP
Triggers & entry points,GitHub label trigger,Adding a label (e.g. `agent`) starts a run,OH CUR SWP?,MVP
Triggers & entry points,GitLab @mention / label on issues & MRs,Webhook on notes/labels → run → MR,OHE CC CUR?,MVP
Triggers & entry points,Bitbucket comment trigger,`@cursor` on Bitbucket PRs,CUR,Later
Triggers & entry points,Slack mention trigger,`@bot` in a channel/thread starts a run,CUR CC OHE ANK,v1
Triggers & entry points,Microsoft Teams trigger,Start runs from Teams,CUR ANK,Later
Triggers & entry points,Linear trigger / sync,Issue created / status change starts a run,CUR SYM OHE?,Later
Triggers & entry points,Jira Cloud trigger,Ticket mention/label → run,OHE SYM,v1
Triggers & entry points,Jira Data Center trigger,Self-managed Jira → run,OHE,v1
Triggers & entry points,Asana source,Poll Asana tasks as work items,SYM,Later
Triggers & entry points,Sentry / PagerDuty triggers,Error or incident events start an investigation run,CUR,Later
Triggers & entry points,Generic inbound webhook trigger,Private URL + key; POST to start a run from CI/monitoring,CUR CC,v1
Triggers & entry points,Tracker polling (no inbound webhooks),Poll issue trackers on an interval instead of receiving webhooks,SYM CAM,v1
Triggers & entry points,No-repo / start-from-scratch run,Run without cloning a repository,CUR CMA CDR,Later
Triggers & entry points,Image attachments in prompt,Paste screenshots/mockups into the task,CUR CDR CC?,v1
Automations & scheduling,Scheduled (cron) runs,Recurring runs on a cron expression,CUR CMA CC,v1
Automations & scheduling,SCM event triggers,"PR opened/pushed/merged, push to branch, CI completed, review submitted …",CUR CC,v1
Automations & scheduling,Slack channel event triggers,New message / emoji reaction / channel created,CUR OH?,Later
Automations & scheduling,Automation run-as identity,Run as creator vs dedicated service account (billing + identity),CUR,v1
Automations & scheduling,Automation sharing & access,Private / members can view / members can edit,CUR,v1
Automations & scheduling,Natural-language automation builder,Describe a workflow; tool configures triggers/tools,CUR,Later
Automations & scheduling,Automation templates marketplace,"Prebuilt templates (fix CI, triage Sentry …)",CUR,Later
Automations & scheduling,Managed PR review agent,Bugbot-style automatic review of PRs,CUR CC,Later
Automations & scheduling,Security review agent,Scan PRs/codebase for vulnerabilities,CUR,Later
Automations & scheduling,Auto-approve / route low-risk PRs,Agent requests reviewers or approves,CUR,Not planned
Session / run lifecycle,Durable session + per-prompt runs,Session holds conversation/workspace; each prompt is a run,CUR CMA CC OH CDR,MVP
Session / run lifecycle,Follow-ups on an idle session,Continue the same conversation and workspace,CUR CMA CC OH CL TK CDR ANK CAM?,MVP
Session / run lifecycle,Steer a running agent,Send messages mid-run (queued until next step if needed),CMA CC CDR OH?,MVP
Session / run lifecycle,Cancel / interrupt,Stop the active run; terminal state,CUR CMA CC OH CDR CAM? HAR?,MVP
Session / run lifecycle,Take back a queued message,Retract a not-yet-read follow-up,CC,Later
Session / run lifecycle,Queueing + concurrency limits,Per-team/repo caps; one active run per session,CUR SYM HAR CAM,MVP
Session / run lifecycle,Parallel runs,Many independent runs at once,CUR CC SYM HAR CDR,MVP
Session / run lifecycle,Infrastructure retries,Retry provisioning/clone failures with backoff,CAM? HAR? SYM?,MVP
Session / run lifecycle,Explicit run state machine,creating → running → finished/error/cancelled/expired,CUR CMA HAR CL,MVP
Session / run lifecycle,Wall-clock timeout / max turns,Hard stop by time or turns,CC SYM?,MVP
Session / run lifecycle,Per-issue / per-run workspace lifecycle,"Create, reuse and clean up workspaces per task",SYM CUR HAR,MVP
Session / run lifecycle,Archive / unarchive / delete,Soft- and hard-delete sessions,CUR CC CMA,v1
Session / run lifecycle,Idempotent create,Client-supplied id prevents duplicate runs,CUR,v1
Session / run lifecycle,Hibernate + resume idle sessions,Snapshot/stop idle sandbox; restore on follow-up,CUR CMA CC,v1
Session / run lifecycle,Plan mode,Explore and propose a plan before editing,CUR CC CDR PLX,v1
Session / run lifecycle,Teleport session to local terminal,Pull branch + conversation into local CLI,CC,Later
Session / run lifecycle,Sub-agents / custom sub-agents,Delegate to child agents with own context,CUR CC CDR,Later
Session / run lifecycle,Multi-agent projects / agent teams,Coordinator spawns and tracks many sessions,CC CDR,Later
